ID, Specialization, Description, Perspectives
"12.05.01","Электронные и оптико-электронные приборы и системы специального назначения","В зависимости от выбранного ВУЗа период обучения на очной форме может составлять от пяти до пяти с половиной лет. Этого срока достаточно для того, чтобы научиться: анализировать и классифицировать научные и технические данные, зарубежные и отечественные испытания в сфере создания приборов выбранного профиля; моделировать физические процессы, отражающие распределение и взаимодействие с веществами и материалами, имеющими излучение электромагнитного типа в радио- и оптическом диапазоне; исследовать предметные характеристики объектов, определяя оптимальные технические и метрологические средства; разрабатывать конкурентоспособные методики для сохранения, обработки и получения информации, применяя системы специального назначения и электронные, оптико-электронные устройства; проводить патентный поиск и исследовать патенспособность реализованных разработок; анализировать функциональную эффективность приборов; обосновывать проекты устройств и систем, технологии их производства, способы обработки и хранения данных с точки зрения технико-экономических свойств; вычислять критерии и характеристики объектов; анализировать и предсказывать результаты работы сложных технических объектов и систем.","Инженерная квалификация требуется для выполнения всех работ, связанных с этой сферой. Выпускники смогут стать конструкторами, электронщиками. В различные НИИ регулярно проходит набор специалистов в области разработки оптико-электронных приборов. Также недавние студенты устраиваются на предприятия, осуществляющие производство цифровой техники. Сегодня они охватывают наибольший сегмент рабочих мест квалифицированных специалистов по данному профилю. Регулярно заводы по изготовлению медицинского оборудования размещают перспективные вакансии для специалистов данной квалификации. Знание иностранного языка позволит трудоустроиться в зарубежные компании или их представительства на территории России."
"13.03.01","Теплоэнергетика и теплотехника","По этой  специальности готовят инженеров-теплоэнергетиков, которые смогут работать на крупных предприятиях электроэнергетики: АЭС, ГЭС, на электрических и тепловых станциях. В профессиональную сферу деятельности молодых специалистов входит совокупность способов, технических средств и методов по использованию теплоты и преобразованию в теплоту других видов энергии. На первых курсах обучения студенты изучают предметы естественно-научного и математического циклов: математику, химию, физику и экологию. В профессиональный цикл дисциплин входят: атомные и тепловые электростанции; компьютерная графика; инженерная графика; механика и электромеханика; турбины АЭС и ТЭС; основы эксплуатации и проектирования; начертательная геометрия; теплоэнергетика  и тепломассообмен; парогенераторы и котельные установки;  нетрадиционные и возобновляемые источники энергии; экономика и управление предприятиям в энергетической сфере.","Молодые специалисты занимаются организацией и техническим оснащением рабочих мест, а также размещением и обслуживанием технологического оборудования. Следят за качеством продукции,  за расходом всех видов энергии и топлива и за соблюдением техники безопасности и экологической безопасности на предприятиях. Оформляют необходимую документацию и занимаются вопросами менеджмента качества.  В сферу их профессиональной деятельности входит также:• эксплуатация распределительных сетей и энерго- и теплосберегающих источников энергии;• разработка и проектирование нетрадиционных технологий генерации энергии;• эксплуатация на базе газотурбинных технологий мини-ТЭЦ. Выпускники трудоустраиваются на промышленные предприятия, в энергетические компании, на сетевые предприятия ЖКХ, ГРЭС, ТЭС, на тепловые электроцентрали, на предприятия нефтегазовой отрасли или на  электростанции. "
"13.03.02","Электроэнергетика и электротехника","По этому профилю готовят энергетиков нового поколения, которые смогут заниматься проектированием и эксплуатацией любых электроэнергетических и теплоэнергетических установок, вне зависимости от того, какой энергоресурс они используют: энергетические естественные потоки или нетрадиционные схемы электро- и теплогенерации. Обучение по специальности подразумевает изучение большого количества профильных предметов и нескольких общих дисциплин, а также научно-исследовательскую работу. Среди обязательных предметов: теплотехника, электротехническое материаловедение, основы энергетики, конструкционное материаловедение, энергетические машины, теоретические основы механики, гидроаэромеханика,  возобновляемые источники энергии,  безопасность жизнедеятельности.","В зависимости от профиля, который выбрали бакалавры, они могут трудоустроиться в энергосберегающие компании, на электростанции любых типов, в технопарки, на промышленные предприятия (в роли специалистов по энергетике)  или в научные организации. В сферу компетенции молодых специалистов входит контроль за передачей и распределением энергии, за ее применением, производством  и преобразованием. После окончания ВУЗа бакалавр в сфере энергетики и электроэнергии часто работает на должности специалиста по обслуживанию электрических систем, специалиста по энергобезопасности, инженера. В дальнейшем же может подняться по карьерной лестнице и занять должность руководителя проекта или технического директора.Те, кого интересует научно-исследовательская работа, могут трудоустроиться в научные лаборатории и институты и заниматься инновационными исследованиями в сфере электроэнергии, созданием автономных источников энергии и энергоустановок, работающих от энергии природных потоков (например, от ветра или  солнца). "
"13.03.03","Энергетическое машиностроение","В ходе учебного процесса будущие бакалавры осваивают способы решения следующих задач: расчет и конструирование узлов и деталей; использование описаний, инструкций, технических паспортов по работе установок и устройств; стандартизация и подготовка к сертификации систем, технических средств, оборудования, материалов, процессов; владение графическими пакетами программ; контроль обслуживания технологического оборудования; разработка технической документации; внедрение результатов разработок и исследований; монтаж, испытания и сдача объектов профессиональной деятельности; наладка и проверка программных средств и оборудования; проведение текущего ремонта и профилактического осмотра объектов профессиональной деятельности; организация работы коллектива; анализ затрат и результатов деятельности подразделений; решение ряда теплогидравлических задач применительно к отдельным элементам электроустановок.","Выпускник бакалавриата по данному профилю может рассчитывать на должность инженера по наладке, инженера по испытаниям, инженера-электрика, инженера-разработчика, инженера-проектировщика, инженера-электроника, а также инженера-энергетика. При этом местом работы бакалавров могут являться теплоэлектростанции, фирмы, предприятия и заводы по техническому обслуживанию, эксплуатации автотранспортных установок, оснащенных двигателем внутреннего сгорания. Кроме того, специалисты такого уровня могут проводить работу на базе кафедр, лабораторий ВУЗов. Продолжить образование по данному направлению можно в магистратуре."
"13.04.01","Теплоэнергетика и теплотехника","Магистрантам по этой специальности  дают углубленную профессиональную и фундаментальную подготовку в сфере теплоэнергетики  и теплотехники: знакомят с технологиями производства тепловой и электрической энергии, обучают проводить испытания и внедрять в производство новое (в том числе и нестандартное)  тепломассобменное оборудование, проводить стандартизацию оборудования, технических средств и материалов.Учебная программа магистратуры включает в себя общенаучный цикл дисциплин, цикл профессиональных предметов, практику, самостоятельную научно-исследовательскую работу и государственную итоговую аттестацию.Так, магистранты изучают: профессиональный иностранный язык; математическое моделирование; философские проблемы науки и техники; управление производством и экономику; информационные технологии в науке и технике; экологическую безопасность и другие.Особая роль отводится научно-исследовательской деятельности и практике. Магистранты участвуют в научных конференциях, готовят доклады и статьи, занимаются  проектно-конструкторскими разработками  и   проектами  модернизации энергетического оборудования. ","Потребность в специалистах-теплоэнергетиках с высшей квалификацией возрастает с каждым годом, поэтому проблем с трудоустройством у выпускников магистратуры по этому направлению не возникнет. Магистру-теплоэнергетику подвластна проектно-конструкторская, научно-исследовательская, расчетно-проектная, производственно-технологическая, педагогическая и организационно-управленческая сферы деятельности. Их примут на работу:• научно-исследовательские профильные институты и лаборатории;• предприятия по производству оборудования для ТЭС и АЭС;• предприятия теплоэнергетики и атомной энергетики. Выпускники магистратуры смогут претендовать на руководящую должность, или продолжить обучение в аспирантуре по профилю."
"13.04.02","Электроэнергетика и электротехника","В магистратуре по специальности «Электроэнергетика и электротехника» готовят высококвалифицированных специалистов в сферах: разработки систем сопровождения и их усовершенствования;  управления электроэнергетическими системами;  проектирования высоковольтной техники и возобновляемых источников электроэнергии и их эксплуатации;  исследования и разработки электроприводов и электромеханических преобразователей; повышения эффективности энергосистем и других. Учебная программа включает в себя базовые дисциплины (дополнительные главы математики, философские проблемы науки и техники, информационные и компьютерные технологии) и профильные. Среди них можно выделить такие предметы, как: современные проблемы электротехники, проектный менеджмент, современные проблемы электротехники и  иностранный язык (профессиональный). ","Магистры по этой специальности востребованы не только в России, но и за рубежом.  Квалифицированных специалистов ждут должности преподавателей, научных сотрудников, инженеров, руководителей подразделений, директоров, начальников линий и участков.Они могут устроиться на работу:• в энергосервисные и  инжиниринговые компании;• в научно-исследовательские институты и лаборатории;• в высшие и средние учебные заведения;• на предприятия, работающие в сфере производства электроэнергии и ее распределения;• в проектные организации;• на предприятия энергомашиностроения;• в испытательные лаборатории и центры;• на энергоемкие промышленные предприятия. "
"13.04.03","Энергетическое машиностроение","Магистр после обучения по направлению «Энергетическое машиностроение» будет готов справляться со следующими профессиональными задачами: проведение патентных исследований; обоснование проектно-технических решений; разработка проектов сложных изделий, сопряженная с использованием автоматических средств проектирования и передового опыта по разработке конкурентоспособных изделий; описание принципов работы и конструкции проектируемых объектов и  изделий; проведение расчетов по проекту, а также анализа эффективности проектируемых конструкций; разработка планов, программ научных исследований, технических экспериментов, отдельных задач для исполнителей; выбор методики проведения испытаний и последующий анализ результатов; разработка математических и физических моделей, программ и алгоритмов на их базе; написание отчетов, публикаций и обзоров на основе результатов испытаний; разработка технологических нормативов расхода ресурсов и норм выработки; выяснение причин брака на производстве, разработка мер его предупреждения и устранения; организация работы исполнителей.","Основная профессия выпускника магистратуры по специальности «Энергетическое машиностроение» - инженер-конструктор. Проблемы по трудоустройству возникают редко, поскольку такие специалисты востребованы не только в частных, но и в государственных компаниях. Места работы – частные и государственные конструкторские бюро, организации, которые специализируются на любом промышленном производстве – в тяжелой, военной или легкой промышленности, строительно-монтажные фирмы и научно-исследовательские институты. В небольших компаниях инженер-конструктор может быть вынужден брать на себя часть работы с клиентами и вопросы согласования проектов с инспектирующими организациями."
"13.05.01","Тепло- и электрообеспечение специальных технических систем и объектов","",""
"13.05.02","Специальные электромеханические системы","",""
"14.03.01","Ядерная энергетика и теплофизика","Учебная программа по специальности состоит из физико-математического блока дисциплин и блока профессиональных предметов. В рамках первого блока молодые люди изучают интегральное и дифференциальное исчисление, инженерную графику и начертательную геометрию, методы линейной алгебры и аналитической геометрии, математическую статистику и теорию вероятности. В рамках второго – прикладную физику, материаловедение, механику, экспериментальные методы исследований, технологию конструкционных материалов, электронику и электротехнику, управление и организацию производством, сертификацию и стандартизацию.","Бакалавры по специальности «Ядерная энергетика и теплофизика» выбирают прикладное направление работы, преподавательскую или научно-исследовательскую деятельность.  В первом случае они трудоустраиваются на электростанции или в организации, которые занимаются обслуживанием энергетических установок, и претендуют на должности технолога, физика-ядерщика, инженера-теплофизика, инженера-энергетика, инженера по системам отопления, теплоэнергетика.Во втором случае, становятся учителями физики, преподавателями профильных дисциплин в различных учреждениях образования. В третьем – работают в экспериментальных лабораториях, научно-исследовательских институтах на должностях лаборанта или младшего научного сотрудника. Также они могут продолжить образование, выбрав схожее направление в магистратуре и аспирантуре, в том числе и за рубежом. "
"14.03.02","Ядерные физика и технологии","Студенты, выбравшие эту специальность, получают базовую подготовку по предметам общепрофессионального, естественнонаучного и гуманитарного цикла, а также подготовку по специальным дисциплинам.Так, среди наиболее важных  предметов можно выделить: методы компьютерной и инженерной графики; фундаментальные законы в сфере физики частиц и атомного ядра; теоретические основы электроники и электротехники; квантовую механику; физику плазмы; математическое моделирование и численные методы; материаловедение; статистическую физику; введение в современные нанотехнологии; безопасность жизнедеятельности; физику защиты; сопротивление материалов; теорию поля и другие.Выпускники этого профиля получают практические навыки обслуживания электрофизических установок, их проектирования, приобретают опыт практического применения достижений ядерной и атомной физики, как на производстве, так и в научных исследованиях. ","Бакалавров с дипломом «Ядерная физика и технологии» ждут на работу действующие АЭС, организации Росатома, атомные станции, предприятия ядерного топливного цикла, научно-исследовательские институты.Молодые специалисты претендуют на должности: инженера по охране окружающей среды или охране труда, инженера-радиолога, лаборанта радиоактивационных методов, техника-энергетика, инженера-дозиметриста, контролера по хранению ядерных материалов и боеприпасов, физика-ядерщика, лаборанта ядерной физической лаборатории, работника аналитической лаборатории, эколога или лаборанта по обработке расчетных данных."
"14.04.01","Ядерная энергетика и теплофизика","Углубленное образование, которое молодые люди получают в магистратуре по специальности «Ядерная энергетика и теплофизика», позволяет им осуществлять научно-педагогическую, производственно-технологическую, научно-исследовательскую, проектно-конструкторскую или научно-инновационную деятельность, которая связаны с исследованием закономерностей и физических явлений в сфере молекулярной физики и теплофизики.Базовые курсы, предусмотренные учебной программой: современный научно-технический перевод, актуальные проблемы производства и науки, философия и история и методология производства и науки. Кроме этого, магистранты могут выбрать себе профиль обучения, например, информационные системы в теплофизике и атомной энергетике или физико-технические проблемы в энергетике атома. ","Магистры по специальности «Ядерная энергетика и теплофизика» устраиваются на работу в научно-исследовательские институты, лаборатории, в высшие учебные заведения, на электростанции всех видов. Как правило, многие специалисты выбирают научно-исследовательскую или экспериментальную деятельность: возглавляют проекты, проводят эксперименты, исследуют явления и процессы, анализируют и оформляют результаты. Те, кто выбирает прикладную область деятельности, обслуживают ядерные установки и реакторы, обеспечивают их работу и ремонт, внедряют инновационные разработки, отвечают за безопасность людей на АЭС. Трудоустроиться они могут на должности инженера-теплотехника, теплоэнергетика, инженера по системам отопления, энергетика."
"14.04.02","Ядерные физика и технологии","В сферу деятельности магистров по направлению «Ядерная физика и технологии» входят разработки и исследования в области физики ядра, радиационной физики, физики плазмы и радиационного материаловедения, ядерно-физических установок, их автоматизированного управления, безопасности ядерных материалов и взаимодействия излучения с живыми организмами  и объектами неживой природы. Магистранты изучают общие предметы и дисциплины, среди которых особое внимание уделяется иностранному языку и информационным технологиям, а также дисциплины по выбранной специализации. Проводят самостоятельную научную работу и исследования, на основании чего пишут и защищают магистерскую диссертацию.","Хорошая теоретическая подготовка и приобретенные практические навыки помогают выпускникам магистратуры построить неплохую карьеру, ведь квалифицированные специалисты в этой области сегодня востребованы. Магистров ждут на работу  предприятия ядерного топливного цикла, предприятия в области машиностроения и энергетики, а также компании других отраслей промышленности. Кроме этого, молодые специалисты могут построить карьеру преподавателя в высших или  профильных средних учреждениях образования,  заняться научно-исследовательской работой в научно-исследовательских институтах и лабораториях или продолжить обучение в аспирантуре."
"14.05.01","Ядерные реакторы и материалы","Специалитет по данному направлению предполагает изучение дисциплин в течение шести с половиной лет на заочной или вечерней форме. За это время студенты научатся: анализировать, изучать научную, техническую информацию, наработанный опыт отечественных и зарубежных специалистов в области разработки проектов, связанных с физикой, ядерными энергетическими установками, контролем и учетом материалов; математически моделировать процессы и объекты, опираясь на стандартный комплекс инструментов, применяемых в автоматизированном проектировании и исследованиях; проводить эксперименты, используя заданную методику, анализировать результаты и составлять описания проведенных исследований; составлять научные публикации, обзоры и отчеты, внедрять результаты разработок и исследований; измерять количественные параметры в ядерных материалах, используя разработанные методы и методики; создавать математические модели, обеспечивающие безопасность использования ядерных установок и материалов; разрабатывать методы, направленные на увеличение степени безопасности технологий, объектов и материалов в этой сфере; создавать системы, преобразующие ядерную и тепловую энергию в электрическую; использовать информационные технологии в проектной деятельности; анализировать технические и расчетно-теоретические разработки и учитывать их соответствие законодательным требованиям; организовывать и технически оснащать рабочие места, размещать технологическое оборудование; контролировать соблюдение безопасности в сфере производства и экологии.","Полученное по данной специальности образование позволяет работать инженером-конструктором ядерных энергетических установок. Многие специалисты становятся физиками-ядерщиками, проводящими свои исследования в НИИ. В их задачу входит разработка максимально безопасных способов использования ядерной энергии и процессов, с ней связанных. Перспективным местом работы являются различные АЭС, где специалисты на практике должны будут применять полученные знания. Владение иностранными языками значительно повысит шансы продолжать карьерный рост на предприятиях за границей."
"14.05.02","Атомные станции: проектирование, эксплуатация и инжиниринг","На данной специальности студенты обучаются: изучать и анализировать техническую и научную информацию, зарубежный и российский опыт, связанный с проектированием и эксплуатацией ядерных установок, связанного с ними оборудования, контролирующими системами, управлением и диагностикой; математически моделировать алгоритмы контроля, управления и диагностирования; эксплуатировать в безопасных режимах атомные объекты; исследовать характеристики и участвовать в испытаниях, проводимых на технологическом оборудовании, системах диагностики, защиты и контроля; обеспечивать надежную, безопасную и эффективную эксплуатацию атомных объектов; анализировать и готовить данные, используемые в атомной энергетике; формулировать проектные цели и определять параметры и показатели для построения и создания атомных станций и их компонентов и прочих энергетических ядерных объектов; проектировать основное оборудование на АЭС, учитывая экологические требования и соблюдая режимы повышенной безопасности; проводить предварительно-технические обоснования при проведении проектирования ядерных установок, систем управления, диагностики и контроля.","На  квалифицированных инженеров-теплоэнергетиков и специалистов по эксплуатации объектов АЭС всегда существует спрос. Приобретенные знания расширяют диапазон их деятельности до специалистов по ядерному обеспечению и физиков-атомщиков. Большинство бывших студентов начинают получать опыт, выполняя теоретические задачи в различных научно-исследовательских институтах. Широкий диапазон знаний в области физики позволяет успешно трудиться физиком-ядерщиком. Данная профессия востребована не только в России, но и за границей, куда отправляются на практику многие успешные студенты. Тем, кто желает наблюдать за результатами своей работы на практике, нередко предлагают перспективные должности инженеров-энергетиков."
"14.05.03","Технологии разделения изотопов и ядерное топливо","",""
"14.05.04","Электроника и автоматика физических установок","Студенты, выбравшие данный профиль, в течение шести лет научатся: изучать и анализировать научно-техническую информацию, отечественный и зарубежный опыт по темам исследований; моделировать процессы и объекты, базируясь на проектах и исследованиях комплексных автоматизированных пакетов; проводить эксперименты, исходя из заданной информации, и анализировать полученные результаты; создавать теоретические модели на конденсированное состояние вещества; исследовать влияние лазерного излучения на вещество; создавать математические модели для описания процессов в ускорителях, ядерных реакторах, лазерах и масс-спектрометрах; разрабатывать и исследовать различные виды ядерного топлива; материалы, используемые в ядерной технике; разрабатывать методы, направленные на повышение уровня безопасности на ядерных и лазерных установках, используемых материалах и технологиях; создавать теоретические модели, связанные с прохождением излучения через вещество, воздействием ионного и лазерного излучения на организм человека и другие живые структуры; создавать методы расчета оборудования и установок, используемых при разделении молекулярных и изотопных смесей, разрабатывать системы по автоматическому управлению процессами; осуществлять комплексную проектную деятельность; анализировать разработки и учитывать их соответствие нормативным документам; проводить ядерно-физические эксперименты, направленные на оценку показателей материалов.","В основном после получения данной специальности у выпускников существует два пути профессионального роста: осуществление научно-исследовательской деятельности и практическое применение полученных знаний. В сфере научной работы специалисты нередко устраиваются инженерами-физиками в различные НИИ. Должность инженера-исследователя и инженера-разработчика регулярно предлагается на крупных АЭС, куда с удовольствием принимают дипломированных выпускников. Тем, кто умеет работать с большими аудиториями и удерживать внимание групп, можно работать в качестве преподавателей в высших учебных заведениях и колледжах и преподавать дисциплины, связанные с данным профильным направлением."
