Дизайн,54.03.01,"Дизайнеры работают в архитектурных мастерских, на фабриках и заводах, в модных домах, ремонтных организациях, полиграфических комплексах, издательствах и редакциях. Задача любого дизайнера – подготовить и разработать художественно-эстетическую концепцию будущего произведения, будь то газетная полоса или этикетка для йогурта. С помощью специальных компьютерных программ специалисты создают макеты с учетом технических требований заказа и эстетических представлений собственных и заказчика.","Одна из самых часто встречающихся вакансий – дизайнер-верстальщик. На этой позиции как правило достаточно образования уровня бакалавриата. В зависимости от загруженности и места работы специалист по компьютерной верстке может рассчитывать на 20–-30 тысяч рублей в месяц. Востребованы на рынке труда промышленные дизайнеры (от 40 тысяч рублей в месяц). Начинающий специалист по дизайну интерьера в составе группы зарабатывает от 25 тысяч рублей. Доходы и карьера дизайнеров по костюму прогнозу поддаются трудно."
Дирижирование,53.03.05,"Дирижер – главное лицо оркестра или хора. Он контролирует исполнение всех членов коллектива, разучивает партитуры, выступает в качестве педагога и, зачастую, психотерапевта. Проводит кастинг среди кандидатов в коллектив, занимается творческими и кадровыми перестановками. Выпускники направления могут работать дирижерами различных типов хоров и оркестров (в зависимости от профиля), руководителями творческих коллективов, хормейстерами, артистами хоров и оркестров, музыкальными педагогами.","Именитые дирижеры – любимцы публики. На концерты их оркестров и хоров билеты раскупаются за полгода. Причем, продолжительными овациями дивиденды не ограничиваются: гонорары маэстро весьма высоки. Те, у кого стать звездами не вышло, похвастаться сверхдоходами не могут. Средняя заработная плата хормейстера или концертмейстера в детских студиях, музыкальных школах и училищах – от 15 до 25тысяч рублей. Помогают держаться на плаву частные уроки и работа по совместительству сразу в нескольких организациях."
Дирижирование военным духовым оркестром,53.05.07,,
Драматургия,52.03.06,"В большинстве случаев драматурги – свободные художники. Они создают произведения для постановок в театре и экранизаций в кино. Могут выполнять обязанности сценаристов на телевизионных студиях, как документальных, так и художественно-развлекательных. Иногда выступают в качестве копирайтеров в рекламных агентствах. Недостаточно написать талантливую вещь, ее необходимо еще и «пристроить». Поэтому зачастую драматурги, особенно начинающие, работают еще и в качестве собственных менеджеров и литературных агентов.","Как такового рынка труда в этой профессии нет. Известность, популярность и, соответственно, доход в большей мере зависят от таланта специалиста, в меньшей – от его деловых качеств и везения. За издания небольшой пьесы начинающему автору редко платят больше 30-50 тысяч рублей. А ее создание может занять не один месяц или даже год. Именитые мастера получают существенные гонорары как за право театральной постановки, так и за экранизацию в кино. Вариант подработки – написание сценариев для телевидения, в том числе, для телесериалов."
Живопись,54.05.02,,
Звукорежиссура аудиовизуальных искусств,55.05.02,,
Звукорежиссура культурно-массовых представлений и концертных программ,51.05.01,,
Искусство концертного исполнительства,53.05.01,,
Искусство костюма и текстиля,54.03.03,"Основное занятие выпускника – проектирование одежды и художественная разработка ткани. После бакалавриата можно работать раскройщиком, конструктором, помощником модельера, дизайнером в модных домах, ателье, на производстве. Проектировщики конструируют модели одежды в зависимости от фигуры модели, вида костюма, используемой ткани. Решают вопросы сочетаемости различных элементов. Создают рекомендации по целесообразному расходу материалов и др","Первые шаги по карьерной лестнице будущие модельеры делают еще в вузе: практические занятия заканчиваются показами созданных моделей, на которые не редко приглашаются представители крупных домов моды. Талантливых новичков приглашают на стажировки. Стартовая должность – помощник модельера или дизайнер. Заработная плата модельера, специализирующегося на Высокой моде, зависит от известности автора. В масс-маркете дизайнер может рассчитывать на 30-50 тысяч рублей в зависимости от квалификации. Раскройщик – на 20-25."
Искусство народного пения,53.03.04,"Выпускники направления работают в составе хоров и ансамблей, строят сольную карьеру. Могут выступать как в качестве штатных артистов при филармониях и центрах народного пения, так и в качестве самостоятельных независимых исполнителей. В будущем многие «народники» уходят в администраторскую и педагогическую деятельность. Создают собственные коллективы, работают в школах и Центрах детского творчества, занимаются научной и преподавательской работой в средних и высших учебных заведениях.","Гонорары артистов хоров, как правило, невелики. Дополнительный бонус – гастроли и конкурсы, в том числе заграничные. Интерес иностранных государств к русскому фольклору позволяет многим коллективам держаться на плаву. Для сольных исполнителей довольно перспективными считаются стили музыки, совмещающие сразу несколько направлений. Например, фольк-рок. В последние годы этот стиль становится все более популярным и, соответственно, прибыльным."
Киноведение,55.05.05,,
Кинооператорство,55.05.03,,
Композиция,53.05.06,,
Литературное творчество,52.05.04,,
Монументально-декоративное искусство,54.05.01,,
Музеология и охрана объектов культурного и природного наследия,51.03.04,"Выпускники направления работают музейными хранителями, организаторами выставок, экскурсоводами и гидами. Как правило, еще во время обучения студенты выбирают сферу, которой хотят заниматься в будущем. Например, декоративно-прикладное или изобразительное искусство, природный туризм и др. Хранители музеев занимаются пополнением фондов, их комплектацией, следят за необходимостью в реставрации. Организаторы выставок – подбирают экспозицию. Экскурсоводы и гиды – составляют туристические программы, проводят экскурсии.","Искусство, особенно современное, сейчас востребовано. На белом коне в профессию въезжают те специалисты, которые владеют не только теоретическими знаниями, но и современными технологиями. Даже в государственных музеях, не говоря уже о частных галереях, в чести сейчас интерактивные презентации, электронные архивы и мультимедийные проекты. Дополнительный плюс – владение иностранными языками. Средняя заработная плата гидов — 20–35 тысяч рублей. Опытные организаторы выставок могут получать компенсацию в 40 и более тысяч."
Музыкальная звукорежиссура,53.05.03,,
Музыкально-инструментальное искусство,53.03.02,"Выпускники направления – музыканты. Они работают в составе ансамблей и оркестров. Выступают на гастролях и концертах. Могут дирижировать коллективами и выполнять обязанности концертмейстера. Жизнь профессионального музыканта состоит из бесчисленных репетиций и концертов. Для того чтобы поддерживать хорошую форму, в день сольные и оркестровые исполнители занимаются как минимум по 4-5 часов. На долю славы и аплодисментов времени остается совсем немного.","Классические музыканты, как правило, работают в оркестрах при филармонии и других музыкальных организациях или в коллективах, не имеющих официального подчинения. Уровень зарплат очень разный. Более высокие гонорары получают победители различных конкурсов, лауреаты смотров. Вариант подработки для начинающего – деятельность концертмейстера или аккомпаниатора. Некоторые выпускники специальности уходят в педагогику, работают в музыкальных школах и колледжах, домах творчества."
Музыкально-театральное искусство,53.05.04,,
Музыкальное искусство эстрады,53.03.01,"Выпускники направления работают музыкантами в группах различных стилей, выполняют роль аккомпониаторов и хормейстеров, поют в ансамблях и небольших коллективах, делают карьеру в качестве сольных исполнителей или певцов бэк-вокала. Карьера не всегда складывается гладко. В идеале, музыканту не повредят деловые способности: директора и администраторы начинающими исполнителями интересуются не часто. Умение преподать себя – хорошее подспорье в карьере.","В эту профессию не стоит идти за высокими гонорарами. Звезды действительно зарабатывают немало, но гарантировать, что вы обязательно попадете в их число, не могут даже самые опытные продюсеры. Удел менее удачливых исполнителей – эпизодические подработки в составе музыкальных групп, гастроли по стране, работа в качестве руководителей в детских коллективах. Вариант профессионального развития – преподавательская карьера в музыкальных школах и колледжах."
Музыковедение,53.05.05,,
Музыкознание и музыкально-прикладное искусство,53.03.06,"Выпускники направления могут реализовывать себя в административной работе (продюсер, директор коллектива), педагогике (преподаватель музыки в школах, колледжах и вузах), музыкальной критике и журналистике, аранжировке и звукообработке. Но чаще всего бакалавры идут в менеджмент. Музыкальный продюсер занимается продвижением исполнителя или коллектива, курирует репертуар своих подопечных, заключает контракты от их имени, устраивает концерты и гастроли, обеспечивает материально-техническую базу для творческой работы.","Вариантов трудоустройства для выпускников не меньше, чем профилей у направления. Администраторы и продюсеры, как правило, работают в составе продюсерских центров или самостоятельно. Их зарплата напрямую завязана на доходы, которые получает подопечный коллектив или артист. Музыкальные журналисты – штатные и внештатные сотрудники специализированной прессы и издательств – чаще всего «сидят» на гонорарах (средний ежемесячный доход от 20 до 50 тысяч рублей). Аранжировщики могут работать как в штате звукозаписывающей студии, так и по срочным контрактам."
Народная художественная культура,51.03.02,"Выпускники направления работают в этнокультурных центрах, домах народного творчества, центрах фольклора, школах народной культуры, центрах народных ремесел, клубах. В их обязанности может входить руководство студиями, коллективами, любительскими объединениями народного художественного творчества, составление и пополнение коллекций этнохудожественных и этнокультурных музеев и выставок, преподавание народной хореографии, пения, художественной культуры.","Этническая тема набирает популярность. С каждым годом открывается все больше домов народного творчества, центров воссоздания ремесел, этнокультурных заповедников. Особенно популярно народное творчество в местах компактного проживания малых и больших народов: на севере, в Поволжье, автономных республиках. Но и в центральном регионе фольклор выходит из забвения. Выпускники направления работают в коллективах и группах, создают танцевальные ансамбли, руководят национальными объединениями."
Продюсерство,55.05.04,,
Режиссура кино и телевидения,55.05.01,,
Режиссура театра,52.05.02,,
Режиссура театрализованных представлений и праздников,51.03.05,"Режиссер массовых мероприятий занимается постановкой праздников и театрализованных представлений. Он выстраивает и реализует концепцию мероприятия. Подбирает состав участников. Договаривается с мастерами сцены, света и звука. Знает, как сделать так, чтобы праздник не был банальным, а мероприятие — скучным. В зависимости от профиля, выпускники направления могут заниматься организацией спортивных праздников, массовых гуляний, театрализованных шоу.","Выпускники направления работают в составе театральных труп, шоу-групп, продюсерских центров и агентств. Могут руководить как профессиональными, так и самодеятельными коллективами. Самый частый заказчик театрализованных представлений в нашей стране — государство. На постановке шоу-программ для увеселительных мероприятий районного и городского масштаба сделано не одно режиссерское имя. Гонорары режиссеров достаточно разнообразны — от 20–30 тысяч рублей единовременно за организацию небольшого праздника в школе или детском саду, до сотен тысяч — за постановку концерта на народных гуляниях."
Реставрация,54.03.04,"Задача реставратора — восстановление предметов, по тем или иным причинам утративших свой первоначальный вид. Чаще всего реставрации подвергаются старинные атрибуты и произведения искусства. Но иногда необходимость в обновлении может быть вызвана и другими причинами — например, воздействием природной стихии. Высококлассные реставраторы могут восстановить даже предметы, практически утратившие свою художественную ценность. Скрупулезность в работе и настойчивость — необходимые качества для мастера.","Хороших реставраторов знают и ценят в профессиональной среде. Их приглашают на конкретные проекты, зачастую сдвигая сроки работ на время, когда освободиться нужный мастер. Естественно, работа профессионалов высоко класса оплачивается достойно. Начинающие специалисты могут рассчитывать на место «подмастерья» в одной из мастерских. Их труд стоит не очень дорого: от 15-20 тысяч рублей в месяц. Мода на старину, в том числе в интерьерах, дает дополнительные рабочие места. Сейчас больше половины вакансий реставраторов приходится на мебельную индустрию."
Скульптура,54.05.04,,
Социально-культурная деятельность,51.03.03,"Выпускники направления работают продюсерами, директорами промаушн-компаний и кино-концертных организаций. В их обязанности входит организационная деятельность в шоу-бизнесе: переговоры с концертными агентствами, ведение различных типов договоров, поддержание отношений со звукозаписывающими компаниями, музыкальными теле- и радиостанциями. Хороший продюсер — мама и папа своего артиста. Именно он зажигает «звезды». И делает все, чтобы они «горели» на небосклоне шоу-бизнеса как можно дольше.","Начинающие специалисты работают PR-менеджерами артистов, пресс-секретарями, помощниками продюсеров, администраторами и т.п. Стартовый оклад на этих позициях примерно одинаков — 25–30 тысяч рублей. С ростом компетенции растет и заработок. Руководители отделов и подразделений получают от 45–50 тысяч рублей. Доходы руководителей продюсерских центров, особенно именитых, зависят от заработков их подопечных. Как правило, измеряются гонорары лучших продюсеров шестизначными цифрами"
Сценография,52.05.03,,
Театроведение,52.03.05,"Выпускники направления работают театральными критиками, как независимыми, так и в штате различных журналов и газет. Ведут научно-исследовательскую и педагогическую работу в области истории и теории театра. Занимают различные должности в театральных организациях и союзах. Могут быть редакторами, в том числе главными, периодических изданий в сфере искусств, редакторами в отделах культуры и искусства изданий общего профиля. Специалисты по определенным периодам истории театра часто занимают должности хранителей специализированных музеев и архивов","Литературно-театральные журналы и газеты никогда не были особенно богатыми изданиями. Поэтому на очень высокие гонорары театральным критикам рассчитывать не приходится. Представители этой профессии могут работать как за оклад, так и за гонорары. Средний доход театрального журналиста — 20–25 тысяч рублей. Именитые «зубры» зарабатывают больше. Оклад редактора — от 25 тысяч рублей. Сотрудники литературно-художественных отделов театров получают 15–20 тысяч рублей"
Теория и история искусств,50.03.04,"Выпускники направления могут работать искусствоведами, критиками, экспертами-оценщиками, экскурсоводами, музейными хранителями, специалистами в архивах. Они изучают произведения искусства, систематизируют их, составляют каталоги и описания к ним, ведут учет экспонатов в музеях и выставочных комплексах. Востребованы как специалисты по различным историческим эпохам и периодам, так и по современному искусству. Еще один вариант карьеры — научная","Основные работодатели искусствоведов — музеи, художественные галереи, аукционные дома, антикварные салоны, экспертные организации. В музеях и НИИ заработные платы, как правило, не велики. Но ситуация меняется: современные технологии и интерес общественности делают выставочные центры популярным видом досуга. Интерес к ним возрастает. Соответственно, увеличиваются и зарплаты. Достойные заработки у экспертов-оценщиков, сотрудничающих с аукционными домами"
Технология художественного оформления спектакля,52.03.04,"Театральное действо создается не только на сцене, но и за кулисами. Специалисты по художественному оформлению спектаклей придумывают декорации, создают костюмы, выстраивают освещение. Они умеют использовать всевозможные технологии для создания нужных визуальных эффектов. Обладают знаниями по композиции, цветоделению, светотеням и др. Работа театральных художников проходит в тесном сотрудничестве с режиссером: художественное оформление должно подчеркивать общий замысел спектакля.","Начинающие специалисты могут претендовать на должности машиниста сцены, художника-оформителя, осветителя, костюмера и др. Как правило, этот этап карьеры обязателен: на позициях нижнего звена в театре приобретается необходимый опыт. Заработные платы в российских театрах невысоки: от 15 тысяч рублей. Опытные оформители имеют возможность подрабатывать в качестве приглашенных специалистов в антерпризе."
Хореографическое искусство,52.03.01,"В зависимости от профиля на направлении готовят балетмейстеров и педагогов по различным видам танца, менеджеров-администраторов танцевальных коллективов. Задача балетмейстера — совершенствование и повышение уровня исполнительского мастерства балетных трупп различной творческой направленности, постановка танцев, этюдов, концертных номеров и спектаклей. Менеджеры ведут переговоры с концертными и театральными площадками, решают административные вопросы, организуют гастроли и конкурсные выступления.","Вакансий хореографов в открытом доступе, как правило, не бывает. Педагогов в коллективы, особенно известные, приглашают знакомых, чьи достижения известны профессиональному сообществу. Исключение — хореографы и балетмейстеры для детских групп, кружков и коллективов. За работу в государственном досуговом центре готовы платить 20–25 тысяч рублей в месяц при условии частичной нагрузки (несколько часов в день). Частные школы искусств и балетные школы предлагают в среднем 30–35 тысяч рублей."
